2026-03-16 15:22:31 | NetworkDiagnostics | INFO | === InfraEye Network Diagnostics Started ===
2026-03-16 15:22:36 | NetworkDiagnostics | INFO | Module 'ImportExcel' is available.
2026-03-16 15:22:36 | NetworkDiagnostics | INFO | Module 'PSWriteHTML' is available.
2026-03-16 15:22:36 | NetworkDiagnostics | INFO | Collecting network adapter information...
2026-03-16 15:22:38 | NetworkDiagnostics | INFO | Fetching public IP information from ipinfo.io...
2026-03-16 15:22:39 | NetworkDiagnostics | INFO | Running ping tests to: 8.8.8.8, 1.1.1.1, 8.8.4.4...
2026-03-16 15:22:39 | NetworkDiagnostics | INFO | Ping 8.8.8.8: avg=10.7 ms, loss=0%
2026-03-16 15:22:39 | NetworkDiagnostics | INFO | Ping 1.1.1.1: avg=8.9 ms, loss=0%
2026-03-16 15:22:39 | NetworkDiagnostics | INFO | Ping 8.8.4.4: avg=9.5 ms, loss=0%
2026-03-16 15:22:39 | NetworkDiagnostics | INFO | Running internet speed test...
2026-03-16 15:22:39 | NetworkDiagnostics | INFO | Speedtest CLI not found. Installing via winget (silent)...
2026-03-16 15:22:49 | NetworkDiagnostics | SUCCESS | Speedtest CLI installed successfully. Running test...
2026-03-16 15:22:49 | NetworkDiagnostics | INFO | Running multi-stream Cloudflare fallback speed test...
2026-03-16 15:22:59 | NetworkDiagnostics | INFO | Fallback result: Download=89.17 Mbps, Upload=84.25 Mbps, Ping=9.2 ms
2026-03-16 15:22:59 | NetworkDiagnostics | INFO | Detecting bandwidth-heavy processes...
2026-03-16 15:23:00 | NetworkDiagnostics | INFO | Analyzing network issues...
2026-03-16 15:23:00 | NetworkDiagnostics | INFO | Generating HTML report...
2026-03-16 15:23:00 | NetworkDiagnostics | SUCCESS | Report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\NetworkDiagnostics\Reports\NetworkDiagnostics_20260316_152231.html
2026-03-16 15:23:02 | NetworkDiagnostics | SUCCESS | Excel report saved: D:\VS_CODE\InfraEye-IT-Diagnostics\NetworkDiagnostics\Reports\NetworkDiagnostics_20260316_152231.xlsx
2026-03-16 15:23:02 | NetworkDiagnostics | SUCCESS | === InfraEye Network Diagnostics Completed ===
